350,0     83,572
352,0     83,596
354,0     83,596
356,0     83,767
358,0     83,437
360,0     83,48
362,0     83,389
364,0     82,954
366,0     82,577
368,0     82,187
370,0     81,79
372,0     81,595
374,0     81,595
376,0     81,382
378,0     81,166
380,0     80,988
382,0     80,63
384,0     80,247
386,0     79,87
388,0     79,38
390,0     78,824
392,0     78,32
394,0     77,825
396,0     77,367
398,0     77,107
400,0     76,724
402,0     76,513
404,0     76,219
406,0     75,885
408,0     75,789
410,0     75,562
412,0     75,457
414,0     75,282
416,0     75,126
418,0     74,864
420,0     74,63
422,0     74,396
424,0     74,18
426,0     74,049
428,0     73,851
430,0     73,71
432,0     73,497
434,0     73,323
436,0     73,191
438,0     72,998
440,0     72,877
442,0     72,735
444,0     72,579
446,0     72,451
448,0     72,263
450,0     72,094
452,0     71,956
454,0     71,855
456,0     71,7
458,0     71,596
460,0     71,466
462,0     71,246
464,0     71,001
466,0     70,743
468,0     70,422
470,0     70,176
472,0     69,853
474,0     69,51
476,0     69,116
478,0     68,64
480,0     68,215
482,0     67,746
484,0     67,171
486,0     66,597
488,0     65,959
490,0     65,257
492,0     64,511
494,0     63,654
496,0     62,807
498,0     61,935
500,0     60,952
502,0     59,903
504,0     58,929
506,0     58,008
508,0     57,006
510,0     56,12
512,0     55,1
514,0     54,124
516,0     53,138
518,0     52,214
520,0     51,328
522,0     50,397
524,0     49,516
526,0     48,745
528,0     48,373
530,0     47,386
532,0     46,468
534,0     45,573
536,0     44,231
538,0     43,62
540,0     43,033
542,0     42,153
544,0     41,475
546,0     40,792
548,0     40,109
550,0     39,548
552,0     39,017
554,0     38,474
556,0     37,954
558,0     37,413
560,0     36,812
562,0     36,142
564,0     35,66
566,0     35,186
568,0     34,739
570,0     34,363
572,0     33,936
574,0     33,487
576,0     33,072
578,0     32,513
580,0     32,12
582,0     31,604
584,0     31,231
586,0     30,973
588,0     30,585
590,0     30,332
592,0     29,965
594,0     29,701
596,0     29,423
598,0     29,129
600,0     28,879
602,0     28,651
604,0     28,369
606,0     28,169
608,0     27,971
610,0     27,684
612,0     27,421
614,0     27,069
616,0     26,633
618,0     26,286
620,0     25,993
622,0     25,909
624,0     25,857
626,0     25,809
628,0     25,697
630,0     25,283
632,0     25,057
634,0     24,685
636,0     24,286
638,0     23,958
640,0     23,528
642,0     23,344
644,0     23,248
646,0     23,033
648,0     22,838
650,0     22,672
652,0     22,431
654,0     22,31
656,0     22,17
658,0     21,921
660,0     21,817
662,0     21,669
664,0     21,384
666,0     21,145
668,0     20,979
670,0     20,686
672,0     20,697
674,0     20,676
676,0     20,534
678,0     20,496
680,0     20,183
682,0     20,093
684,0     19,864
686,0     19,66
688,0     19,74
690,0     19,421
692,0     19,213
694,0     19,2
696,0     18,966
698,0     18,733
700,0     18,701
702,0     18,627
704,0     18,311
706,0     18,189
708,0     17,967
710,0     17,914
712,0     17,969
714,0     17,96
716,0     17,801
718,0     17,572
720,0     17,511
722,0     17,609
724,0     17,693
726,0     17,693
728,0     17,517
730,0     17,079
732,0     17,095
734,0     17,114
736,0     16,805
738,0     16,998
740,0     16,706
742,0     16,339
744,0     16,112
746,0     15,718
748,0     15,666
750,0     15,958
752,0     16,752
754,0     17,143
756,0     17,308
758,0     17,028
760,0     16,289
762,0     15,622
764,0     15,105
766,0     14,473
768,0     14,635
770,0     15,866
772,0     15,823
774,0     16,795
776,0     17,201
778,0     15,751
780,0     15,01
782,0     14,31
784,0     13,097
786,0     13,446
788,0     13,884
790,0     13,992
792,0     14,844
794,0     14,99
796,0     15,175
798,0     17,055
800,0     16,497
802,0     17,339
804,0     17,477
806,0     15,406
808,0     14,374
810,0     13,842
812,0     13,491
814,0     14,344
816,0     15,504
818,0     13,836
820,0     12,24
822,0     11,818
824,0     12,79
826,0     14,499
828,0     16,002
830,0     16,903
832,0     15,456
834,0     15,598
836,0     18,969
838,0     17,526
840,0     14,573
842,0     14,227
844,0     11,658
846,0     11,879
848,0     16,988
850,0     14,342
852,0     13,405
854,0     18,362
856,0     15,117
858,0     25,027
860,0     19,49
862,0     3,771
864,0     10,763
866,0     -10,66
868,0     -10,617
870,0     -51,08
872,0     -63,258
874,0     -50,581
876,0     -78,889
878,0     -14,804
880,0     -37,857
882,0     -52,716
884,0     -21,401
886,0     -35,001
888,0     -4,567
890,0     6,582
892,0     5,697
894,0     1,674
896,0     3,098
898,0     6,282
900,0     9,331
902,0     8,786
904,0     4,561
906,0     4,359
908,0     1,699
910,0     5,079
912,0     4,841
914,0     5,182
916,0     9,943
918,0     9,729
920,0     10,29
922,0     12,941
924,0     11,252
926,0     12,181
928,0     16,134
930,0     13,551
932,0     12,97
934,0     13,549
936,0     9,146
938,0     8,028
940,0     9,211
942,0     7,211
944,0     8,331
946,0     10,011
948,0     9,496
950,0     10,971
952,0     10,473
954,0     11,552
956,0     11,203
958,0     9,558
960,0     9,927
962,0     8,905
964,0     9,316
966,0     9,269
968,0     9,46
970,0     9,282
972,0     9,789
974,0     11,417
976,0     10,46
978,0     10,964
980,0     10,819
982,0     9,513
984,0     11,27
986,0     11,223
988,0     10,665
990,0     11,583
992,0     11,029
994,0     10,826
996,0     11,079
998,0     9,644
1000,0     8,949
1002,0     8,28
1004,0     8,513
1006,0     9,273
1008,0     10,379
1010,0     11,164
1012,0     10,25
1014,0     10,717
1016,0     10,231
1018,0     9,928
1020,0     10,583
1022,0     11,056
1024,0     10,593
1026,0     10,995
1028,0     10,852
1030,0     9,621
1032,0     9,503
1034,0     8,757
1036,0     8,496
1038,0     9,346
1040,0     9,438
1042,0     10,365
1044,0     10,45
1046,0     10,57
1048,0     10,752
1050,0     10,07
1052,0     9,854
1054,0     9,152
1056,0     8,363
1058,0     8,432
1060,0     8,951
1062,0     8,752
1064,0     8,992
1066,0     8,656
1068,0     9,187
1070,0     8,361
1072,0     7,303
1074,0     7,333
1076,0     7,03
1078,0     8,156
1080,0     8,766
1082,0     9,17
1084,0     8,56
1086,0     7,778
1088,0     8,226
1090,0     8,625
1092,0     7,957
1094,0     8,654
1096,0     8,343
1098,0     8,086
1100,0     8,233
