350	29.408	-0.027	-0.027	-0.027
351	31.108	-0.032	-0.027	-0.027
352	32.771	-0.015	-0.021	-0.021
353	34.592	-0.021	-0.027	-0.027
354	36.032	-0.021	-0.021	-0.015
355	37.68	-0.027	-0.027	-0.021
356	39.233	-0.021	-0.026	-0.015
357	40.73	-0.015	-0.015	-0.021
358	41.776	-0.021	-0.021	-0.021
359	43.359	-0.04	-0.034	-0.05
360	44.98	-0.034	-0.038	-0.044
361	46.156	-0.038	-0.034	-0.034
362	47.586	-0.034	-0.027	-0.034
363	48.416	-0.027	-0.021	-0.027
364	49.602	-0.027	-0.027	-0.034
365	50.787	-0.034	-0.032	-0.021
366	51.897	-0.027	-0.021	-0.021
367	53.091	-0.027	-0.027	-0.021
368	53.802	-0.021	-0.027	-0.021
369	54.744	-0.015	-0.021	-0.021
370	55.478	-0.015	-0.021	-0.021
371	56.223	-0.015	-0.015	-0.015
372	57.191	-0.015	-0.021	-0.021
373	58.179	-0.009	-0.009	-0.009
374	58.789	-0.021	-0.015	-0.015
375	59.521	-0.015	-0.015	-0.009
376	59.964	-0.009	-0.015	-0.015
377	60.53	-0.009	-0.021	-0.009
378	61.38	-0.009	-0.009	-0.009
379	62.137	-0.015	-0.015	-0.015
380	62.505	-0.009	-0.015	-0.009
381	63.199	-0.015	-0.009	-0.015
382	63.725	-0.015	-0.009	-0.009
383	64.256	-0.009	-0.009	-0.003
384	64.854	-0.015	-0.015	-0.009
385	65.314	-0.003	-0.009	-0.009
386	65.829	-0.009	-0.015	-0.015
387	66.02	-0.009	-0.009	-0.003
388	66.516	-0.009	-0.009	-0.009
389	66.954	-0.009	-0.009	-0.009
390	67.618	-0.003	-0.003	-0.003
391	67.982	-0.009	-0.009	-0.009
392	68.188	-0.003	-0.003	-0.003
393	68.61	-0.009	-0.009	-0.009
394	68.661	-0.003	-0.003	-0.009
395	69.069	-0.003	-0.003	-0.003
396	69.196	-0.009	-0.003	-0.003
397	69.333	-0.003	-0.003	-0.003
398	69.513	-0.009	-0.009	-0.003
399	69.452	0	-0.009	-0.009
400	69.701	-0.003	-0.003	-0.009
401	69.482	-0.003	-0.009	-0.009
402	69.609	-0.003	-0.003	-0.003
403	69.861	-0.003	-0.009	-0.009
404	69.731	-0.009	-0.003	-0.003
405	69.589	-0.009	-0.003	-0.009
406	69.45	-0.003	-0.003	-0.003
407	69.661	-0.009	0	-0.009
408	69.608	-0.003	-0.009	-0.009
409	69.531	-0.003	-0.003	-0.003
410	69.47	-0.003	-0.009	-0.009
411	69.324	-0.003	-0.003	-0.003
412	69.186	-0.003	-0.009	-0.003
413	69.025	-0.003	-0.003	-0.003
414	68.68	-0.003	-0.003	-0.003
415	68.674	-0.003	-0.009	-0.003
416	68.436	-0.003	-0.003	-0.003
417	68.405	-0.003	-0.003	-0.003
418	68.114	0	-0.003	-0.003
419	67.94	-0.009	-0.003	-0.003
420	67.766	-0.003	-0.003	-0.003
421	67.473	-0.003	-0.003	-0.003
422	67.329	-0.003	0	-0.003
423	66.866	-0.003	-0.003	-0.003
424	66.515	-0.003	-0.003	-0.003
425	66.154	0	-0.003	-0.003
426	65.755	0	0	-0.003
427	65.231	-0.003	-0.003	-0.009
