Index	Distance[µm]	Time[s]	Velocity[µm/s]
7,000000	2,974074	5,339000	0,557047
8,000000	1,125189	1,410000	0,798006
9,000000	1,036361	1,209000	0,857205
10,000000	0,512369	1,612000	0,299211
11,000000	0,710042	0,604000	1,175566
12,000000	1,542675	1,612000	0,956994
13,000000	0,287009	0,504000	0,569463
14,000000	0,035876	1,410000	0,025444
15,000000	1,725593	2,418000	0,725603
16,000000	0,542391	2,719000	0,199482
17,000000	0,690219	0,604000	1,142746
18,000000	1,412591	1,712000	0,693358
19,000000	1,086609	3,425000	0,276652
20,000000	1,159049	2,317000	0,500237
21,000000	1,412591	3,425000	0,364244
22,000000	1,412591	1,713000	0,824630
23,000000	0,615745	0,907000	0,678881
24,000000	0,435333	0,604000	0,720750
25,000000	1,136565	1,612000	0,705065
26,000000	0,531232	1,007000	0,527540
27,000000	3,387175	4,130000	0,794485
28,000000	3,812991	4,634000	0,822829
29,000000	0,995897	0,907000	1,098013
30,000000	0,920428	0,806000	1,141970
31,000000	1,832124	2,418000	0,757702
32,000000	0,660865	0,504000	1,311241
33,000000	1,597470	2,015000	0,792789
34,000000	0,363273	1,813000	0,135715
35,000000	1,345789	3,324000	0,342276
1,000000	0,797139	2,015000	0,395602
2,000000	0,604453	2,518000	0,240053
3,000000	1,023278	1,008000	1,015157
4,000000	1,051090	1,007000	1,043783
5,000000	0,908550	1,209000	0,751489
6,000000	0,581472	0,403000	1,442858
7,000000	0,669563	0,705000	0,949734
8,000000	0,798671	0,705000	1,132866
9,000000	0,905021	1,813000	0,499184
10,000000	0,905021	1,007000	0,898729
11,000000	3,982090	5,641000	0,705919
12,000000	1,086025	1,612000	0,673713
13,000000	0,651615	0,705000	0,924276
14,000000	0,072402	2,015000	0,035931
15,000000	1,112797	2,820000	0,394609
16,000000	0,439819	0,705000	0,623856
17,000000	1,589859	1,209000	1,315020
18,000000	1,190334	1,209000	0,984561
19,000000	1,488432	1,914000	0,777655
20,000000	0,508245	0,503000	1,010428
21,000000	1,136334	1,008000	1,127316
22,000000	1,562711	1,209000	1,292565
23,000000	1,199290	0,806000	1,487953
24,000000	3,225723	3,525000	0,915099
25,000000	0,806431	0,604000	1,335150
26,000000	1,911595	1,410000	1,355741
27,000000	0,690498	2,317000	0,298014
28,000000	0,757424	0,806000	0,939732
29,000000	0,613153	0,604000	1,015154
30,000000	2,329328	4,332000	0,537703
31,000000	1,199286	1,411000	0,849955
32,000000	1,026367	0,907000	1,131606
33,000000	1,441965	1,208000	1,193680
34,000000	1,242552	1,712000	0,725790
35,000000	2,089389	2,820000	0,740918
36,000000	1,484234	1,813000	0,818662
37,000000	1,630511	2,015000	0,809187
