Real	Imag	frequency
		frequency [kHz]
-2832,000	-132,000	212,000
-1403,000	-1616,000	213,000
-2653,000	1297,000	214,000
-2409,000	2871,000	215,000
-4960,000	1055,000	216,000
-7014,000	1931,000	217,000
-894,000	4231,000	218,000
-729,000	2989,000	219,000
-3344,000	1395,000	220,000
-3073,000	997,000	221,000
488,000	727,000	222,000
-102,000	3291,000	223,000
3537,000	3677,000	224,000
1930,000	4359,000	225,000
-458,000	3837,000	226,000
2239,000	5240,000	227,000
2572,000	5807,000	228,000
1653,000	2108,000	229,000
2658,000	4394,000	230,000
1044,000	4827,000	231,000
-2019,000	4048,000	232,000
-2083,000	2515,000	233,000
3062,000	-259,000	234,000
1800,000	1758,000	235,000
3914,000	-226,000	236,000
419,000	-336,000	237,000
801,000	387,000	238,000
3280,000	89,000	239,000
3181,000	4031,000	240,000
4119,000	38,000	241,000
2625,000	-817,000	242,000
476,000	-82,000	243,000
-379,000	-686,000	244,000
340,000	-1395,000	245,000
-823,000	-2782,000	246,000
601,000	-1432,000	247,000
-1566,000	-2815,000	248,000
-35,000	-2912,000	249,000
-2062,000	-3805,000	250,000
-576,000	-3222,000	251,000
859,000	-4542,000	252,000
262,000	-3131,000	253,000
-291,000	-1335,000	254,000
1188,000	-1126,000	255,000
2230,000	-3403,000	256,000
1118,000	-2156,000	257,000
1125,000	175,000	258,000
1399,000	1720,000	259,000
1,000	578,000	260,000
-1324,000	3019,000	261,000
-310,000	-2333,000	262,000
-2472,000	-55,000	263,000
-2387,000	1188,000	264,000
-3781,000	-4887,000	265,000
-1009,000	1263,000	266,000
1483,000	623,000	267,000
-571,000	626,000	268,000
-1289,000	3588,000	269,000
-550,000	127,000	270,000
2281,000	1699,000	271,000
716,000	609,000	272,000
299,000	547,000	273,000
1669,000	-58,000	274,000
1010,000	-3555,000	275,000
191,000	-2644,000	276,000
1430,000	-704,000	277,000
-1516,000	603,000	278,000
2381,000	3979,000	279,000
898,000	769,000	280,000
296,000	-490,000	281,000
-780,000	-63,000	282,000
-3490,000	60,000	283,000
500,000	895,000	284,000
2873,000	-2392,000	285,000
621,000	-2473,000	286,000
-861,000	-1127,000	287,000
435,000	2626,000	288,000
-1689,000	629,000	289,000
953,000	-804,000	290,000
294,000	-267,000	291,000
-1868,000	-149,000	292,000
-2248,000	325,000	293,000
-1493,000	-2254,000	294,000
266,000	-1329,000	295,000
2535,000	2171,000	296,000
2702,000	1825,000	297,000
1902,000	-707,000	298,000
-845,000	-543,000	299,000
893,000	1926,000	300,000
-1114,000	-349,000	301,000
-3698,000	-1557,000	302,000
-1038,000	752,000	303,000
294,000	1101,000	304,000
-2558,000	-1133,000	305,000
-377,000	-317,000	306,000
677,000	-140,000	307,000
-4021,000	-1723,000	308,000
-1288,000	-641,000	309,000
-760,000	242,000	310,000
-314,000	-1442,000	311,000
-301,000	-1211,000	312,000
-1506,000	-1833,000	313,000
-2278,000	-2465,000	314,000
1079,000	-2200,000	315,000
1994,000	-2541,000	316,000
49,000	2576,000	317,000
1094,000	81,000	318,000
-754,000	84,000	319,000
2191,000	3508,000	320,000
-921,000	351,000	321,000
-2132,000	-352,000	322,000
-3045,000	1290,000	323,000
-1024,000	4467,000	324,000
-477,000	2980,000	325,000
2758,000	594,000	326,000
-2764,000	844,000	327,000
362,000	-1401,000	328,000
-1568,000	288,000	329,000
-764,000	786,000	330,000
1246,000	-2447,000	331,000
415,000	843,000	332,000
-1976,000	1848,000	333,000
-1332,000	2666,000	334,000
-1040,000	1667,000	335,000
1385,000	-39,000	336,000
3121,000	-1715,000	337,000
660,000	-40,000	338,000
-498,000	1286,000	339,000
-2136,000	284,000	340,000
870,000	791,000	341,000
-613,000	563,000	342,000
-744,000	-276,000	343,000
-3229,000	-2931,000	344,000
-3017,000	-352,000	345,000
-2860,000	-444,000	346,000
-4364,000	-2564,000	347,000
-2220,000	518,000	348,000
-1521,000	61,000	349,000
-3726,000	-1581,000	350,000
-1377,000	-1901,000	351,000
-1485,000	49,000	352,000
-1961,000	1,000	353,000
-2678,000	2651,000	354,000
-2147,000	-2633,000	355,000
-3726,000	-1227,000	356,000
-1192,000	-85,000	357,000
-121,000	1510,000	358,000
539,000	-1698,000	359,000
2136,000	-909,000	360,000
1105,000	1,000	361,000
298,000	-1770,000	362,000
-1955,000	279,000	363,000
-1807,000	-1200,000	364,000
-643,000	2195,000	365,000
-2510,000	2818,000	366,000
-687,000	1142,000	367,000
-3219,000	-3274,000	368,000
-2953,000	-843,000	369,000
-746,000	-318,000	370,000
1064,000	2315,000	371,000
2921,000	545,000	372,000
-3480,000	-1646,000	373,000
-3661,000	2925,000	374,000
-1603,000	277,000	375,000
105,000	1958,000	376,000
-125,000	-2473,000	377,000
-371,000	-4295,000	378,000
972,000	1311,000	379,000
1904,000	1822,000	380,000
389,000	2450,000	381,000
55,000	928,000	382,000
119,000	1184,000	383,000
-354,000	-2959,000	384,000
-2931,000	-2362,000	385,000
-264,000	1723,000	386,000
-1025,000	595,000	387,000
-1267,000	1421,000	388,000
511,000	1231,000	389,000
2462,000	2095,000	390,000
3193,000	2020,000	391,000
4321,000	-1180,000	392,000
1714,000	1757,000	393,000
299,000	-1717,000	394,000
1452,000	-237,000	395,000
-204,000	-88,000	396,000
-673,000	2330,000	397,000
-1057,000	-396,000	398,000
-3963,000	-1631,000	399,000
-4184,000	661,000	400,000
-2686,000	-1454,000	401,000
645,000	-205,000	402,000
1323,000	-1246,000	403,000
-76,000	1011,000	404,000
3564,000	-1454,000	405,000
2182,000	1212,000	406,000
3661,000	633,000	407,000
-731,000	-1662,000	408,000
-247,000	-58,000	409,000
2210,000	408,000	410,000
